"Origin","lon","lat"
"7277",146.9726748,-41.3812198
"7252",147.061503,-41.0866925
"7254",147.240896,-41.1251491
"7211",147.4289618,-41.7954517
"7262",147.6155813,-40.9608794
"7267",147.1333157,-41.2709385
"7268",147.2408258,-41.2768005
"4573",153.0879644,-26.5394151
"3930",145.0879338,-38.1952209
"3095",145.1706992,-37.7049998
"3108",145.1210303,-37.7865824
"3105",145.0879338,-37.7660476
"3084",145.0769045,-37.7436031
"3083",145.0548502,-37.6987006
"3081",145.0438252,-37.7417753
"3088",145.1099967,-37.698595
"3087",145.0851764,-37.7019248
"3085",145.0769045,-37.7248812
"3107",145.1099967,-37.7641408
"5022",138.496221,-34.9042495
"5422",138.9605972,-32.8387684
"5031",138.5662571,-34.924146
"5008",133.775136,-25.274398
"5117",138.6539268,-34.6416029
"5023",138.5137217,-34.8954981
"6024",115.8107681,-31.8335417
"3181",144.996985,-37.8544481
"3070",144.9997396,-37.7736132
"3122",145.0328017,-37.8222114
"3121",144.9997396,-37.8203499
"3068",144.9887218,-37.7885749
"3015",144.8786231,-37.8352097
"4819",146.8451379,-19.1547801
"3169",145.1210303,-37.9454838
"3019",144.8566207,-37.7903679
"2850",149.5642369,-32.5593561
"3163",145.0548502,-37.8950779
"3066",144.9873447,-37.8009595
"3144",145.0355574,-37.8535148
"3184",144.9859676,-37.878722
"3166",145.0989646,-37.9006677
"3197",145.1431018,-38.0742262
"3032",144.9006313,-37.7773364
"5262",140.8872648,-36.8261652
"5271",140.5964124,-36.8947607
"3319",141.0540674,-36.8910613
"5270",140.5549719,-36.4029199
"5268",140.8040271,-36.4269352
"2671",147.3722545,-33.8840393
"2446",152.3565156,-31.4267124
"2062",151.2146155,-33.8228068
"2324",151.9111422,-32.6400424
"3012",144.8456217,-37.8146251
"2800",149.0582632,-33.2792017
"6151",115.8699209,-31.9797919
"6147",115.9261038,-32.0443356
"6108",115.9527126,-32.0570426
"6110",116.0295671,-32.0772258
"6103",115.9201904,-31.9608819
"6148",115.8965353,-32.0349098
"4209",153.2992885,-27.852293
"4210",153.2805288,-27.9336003
"4212",153.4036287,-27.7918539
"4211",153.3222261,-27.995579
"4214",153.3623524,-27.9623616
"4275",153.1796489,-28.0380223
"3036",144.8126334,-37.6912843
"3023",144.7521888,-37.7687064
"2600",149.1099161,-35.3075699
"2611",148.7831534,-35.4477412
"2620",149.0123679,-35.631888
"6271",115.5799503,-33.5859042
"6227",115.816684,-33.3242404
"6237",115.6865054,-33.4891504
"6231",133.775136,-25.274398
"2486",153.4744054,-28.2187657
"4225",153.5127518,-28.164389
"2485",153.5157018,-28.178556
"2452",153.0912986,-30.3581041
"6280",115.3311689,-33.7555447
"2018",133.775136,-25.274398
"2191",151.0849848,-33.9061117
"3550",144.2920769,-36.7665875
"3641",145.4471613,-35.9078595
"2732",144.1283863,-35.4668501
"5131",138.76936,-34.7947178
"5070",138.6413941,-34.8956922
"5084",138.5937955,-34.8553998
"2643",146.6289429,-35.9580119
"2646",146.2929381,-35.7553785
"2647",146.0472969,-35.9286597
"3687",146.4383942,-35.9852648
"3730",145.8913207,-36.0520717
"2199",151.0209375,-33.9050378
"2760",150.7737333,-33.7520107
"4000",153.023588,-27.4660994
"0821",133.775136,-25.274398
"5159",138.5887875,-35.0684302
"5156",138.6940504,-35.0250749
"2619",149.2017971,-35.3831348
"2603",149.1328799,-35.3239832
"2582",148.8289611,-34.9445333
"4341",152.333048,-27.6849335
"4721",147.6290138,-22.8318768
"4342",152.4621561,-27.4857911
"2640",147.259277,-35.9976838
"2644",147.4174803,-35.7533631
"2030",151.2772841,-33.8579067
"3126",145.0741474,-37.8245223
"3722",146.1365456,-37.0313019
"0822",131.9196471,-11.8763843
"3707",147.9162555,-36.4104992
"2642",148.052689,-36.0220179
"3690",146.8423556,-36.1118041
"3691",146.9661233,-36.2373927
"3705",147.8026919,-36.1622621
"3806",145.3475331,-38.0264207
"3977",145.2811778,-38.1347885
"3808",145.4360858,-37.999986
"3168",145.1320653,-37.9211962
"2160",150.9831038,-33.8365794
"2151",151.0180269,-33.7739537
"2146",150.9569167,-33.7915266
"3173",145.1706992,-38.0042683
"3174",145.1762197,-37.9641212
"5014",138.5137217,-34.8680352
"5016",138.4937213,-34.8231111
"5009",138.5512419,-34.8950354
"5011",138.5337293,-34.8854877
"5025",138.5362308,-34.9117
"5032",138.5437358,-34.9262534
"5024",138.5137217,-34.9229531
"5018",138.4937213,-34.7773088
"5017",138.4937213,-34.8047928
"5021",138.496221,-34.8722171
"6015",115.7634366,-31.9393057
"6076",116.1595761,-31.9956933
"6021",115.8107681,-31.8759953
"6102",115.9083631,-32.0058457
"6004",115.8787926,-31.9540106
"6070",116.0827607,-31.9226334
"6052",115.884707,-31.915616
"6059",115.8699209,-31.8843665
"2609",149.2190324,-35.2736652
"2612",149.1414924,-35.2792021
"2653",148.052689,-35.7869336
"2621",149.4490642,-35.4176011
"6062",115.9054062,-31.8872484
"6053",115.9172336,-31.9164799
"6069",116.005922,-31.7645555
"6063",115.9408868,-31.8689096
"3210",133.775136,-25.274398
"3226",144.5382417,-38.2573292
"7330",144.9885732,-40.8894957
"7321",145.2688105,-41.3706396
"7322",145.7875622,-41.0574425
"7316",145.9953725,-41.2131788
"0871",133.775136,-25.274398
"2282",151.6479611,-32.9648241
"2900",149.0668705,-35.4170279
"2280",151.6713386,-33.0223311
"2283",151.5953736,-33.050132
"2284",151.6187438,-32.9524472
"6330",117.8780275,-34.9754734
"6328",118.5797981,-34.5142501
"6331",133.775136,-25.274398
"3749",146.8536008,-36.3378001
"5169",138.4837239,-35.1936786
"3688",146.7299747,-36.1542047
"2802",133.775136,-25.274398
"4101",153.0118145,-27.4799195
"4105",153.0259992,-27.535027
"4477",146.5833663,-25.7999814
"4067",153.0000416,-27.4991588
"4472",145.3143491,-24.7102231
"4104",153.0149526,-27.5140455
"2167",150.8929227,-33.9690916
"3022",144.7988921,-37.7776716
"0880",136.7381783,-12.1902862
"0881",133.775136,-25.274398
"6056",116.0532101,-31.8602523
"4371",152.333048,-28.1592715
"4372",152.2476363,-28.2914624
"4370",152.0281585,-28.215734
"4362",151.9831687,-28.0334119
"4373",152.2960993,-28.3431907
"6109",116.0118335,-32.0440832
"4558",153.0795213,-26.6541595
"3160",145.3475331,-37.932935
"3810",145.4693163,-38.0578366
"3782",145.4582381,-37.9137981
"3812",145.5690835,-38.0817495
"3981",145.5912693,-38.1825837
"4506",152.9264759,-27.133839
"4505",152.9727474,-27.1544509
"4510",152.9518951,-27.0796844
"4020",153.1060212,-27.2171518
"4511",153.0834039,-27.066757
"6022",115.8137261,-31.8514757
"2263",151.5077645,-33.2504355
"2262",151.5428026,-33.2075583
"3131",145.1762197,-37.8239091
