postcode,metro,regional,remote,postcode_4digit,lon,lat
2310,0,1,0,2310,Unknown,Unknown
2311,0,1,0,2311,151.4668962,-32.2611927
2312,0,1,0,2312,152.3799862,-32.1257631
2314,1,0,0,2314,Unknown,Unknown
2315,1,0,0,2315,152.151274,-32.7344109
2316,1,0,0,2316,152.0399534,-32.7647951
2317,1,0,0,2317,152.0897462,-32.7326108
2318,1,0,0,2318,151.8643252,-32.753389
2319,1,0,0,2319,152.0048138,-32.7043146
2320,1,0,0,2320,151.5369624,-32.7147232
2321,1,0,0,2321,151.4435474,-32.6916544
2322,1,0,0,2322,151.6654939,-32.8189255
2323,1,0,0,2323,151.4902483,-32.9103365
2324,1,0,0,2324,151.9111422,-32.6400424
2325,1,0,0,2325,151.1869325,-32.9380528
2326,1,0,0,2326,151.4552213,-32.787791
2327,1,0,0,2327,151.4844099,-32.8312613
2328,0,1,0,2328,150.6285091,-32.466267
2329,0,1,0,2329,150.1184797,-32.0459832
2330,0.0233,0.9767,0,2330,150.8609358,-32.7319195
2331,0,1,0,2331,Unknown,Unknown
2333,0,1,0,2333,150.7214362,-32.2415573
2334,1,0,0,2334,151.38519,-32.6875639
2335,0,1,0,2335,151.3501856,-32.6270649
2336,0,1,0,2336,151.1869325,-32.1089351
2337,0,1,0,2337,151.0937206,-31.9193182
2338,0,1,0,2338,151.0005643,-31.7295314
2339,0,1,0,2339,150.535641,-31.7795952
2340,0,1,0,2340,151.0471355,-31.2814691
2341,0,1,0,2341,150.6052865,-31.3599657
2342,0,1,0,2342,150.6052865,-31.1929989
2343,0,1,0,2343,150.3037323,-31.4297744
2344,0,1,0,2344,150.6981989,-31.1325489
2345,0,1,0,2345,150.8376769,-30.9158156
2346,0,1,0,2346,150.6749653,-30.6870373
2347,0,1,0,2347,150.4892292,-30.3053875
2348,0,1,0,2348,Unknown,Unknown
2350,0,1,0,2350,151.9813913,-30.4941859
2351,0,1,0,2351,Unknown,Unknown
2352,0,1,0,2352,151.1636244,-31.0794521
2353,0,1,0,2353,151.0704263,-30.9728211
2354,0,1,0,2354,151.8877321,-31.0638225
2355,0,1,0,2355,151.0937206,-30.7474594
2356,0,1,0,2356,148.96649,-30.5436583
2357,0,1,0,2357,149.1960526,-31.3085444
2358,0,1,0,2358,151.373521,-30.5621734
2359,0,1,0,2359,151.0005643,-30.1352024
2360,0,0.9921,0.0079,2360,151.2335592,-29.640762
2361,0,0.83,0.17,2361,151.1869325,-29.2477204
2365,0,1,0,2365,151.6070583,-30.0677809
2369,0,1,0,2369,151.2102442,-29.9529375
2370,0,1,0,2370,151.9813913,-29.6445018
2371,0,1,0,2371,151.6070583,-29.3880642
2372,0,1,0,2372,151.9813913,-29.1323998
2379,0,1,0,2379,149.7948904,-31.0917446
2380,0,1,0,2380,150.1647697,-30.9361952
2381,0,1,0,2381,149.9797036,-31.305517
2382,0,1,0,2382,150.1647697,-30.6855751
2383,0,0,1,2383,Unknown,Unknown
2385,0,1,0,2385,Unknown,Unknown
2386,0,0,1,2386,148.8289611,-30.0503142
2387,0,0,1,2387,148.96649,-29.7110242
2388,0,0.5908,0.4092,2388,149.3800105,-30.3602829
2390,0,1,0,2390,149.9334764,-30.1669781
2394,0,1,0,2394,Unknown,Unknown
2395,0,1,0,2395,149.4260421,-31.5759338
2396,0,0,1,2396,149.1501056,-30.9238593
2397,0,1,0,2397,149.5642369,-29.9061308
2398,0,1,0,2398,149.7948904,-29.6707647
2399,0,1,0,2399,Unknown,Unknown
2400,0,0.881,0.119,2400,149.7487272,-29.4491211
