"RA_2006_CODE","RA_2006_NAME","POA_2006_CODE","POA_2006_CODE","RATIO","PERCENT"
"11","Inner Regional Australia","2474","2474",0.9146,91.46
"11","Inner Regional Australia","2477","2477",1,100
"11","Inner Regional Australia","2478","2478",1,100
"11","Inner Regional Australia","2479","2479",1,100
"11","Inner Regional Australia","2480","2480",1,100
"11","Inner Regional Australia","2481","2481",1,100
"11","Inner Regional Australia","2482","2482",1,100
"11","Inner Regional Australia","2483","2483",1,100
"11","Inner Regional Australia","2484","2484",0.9848,98.48
"11","Inner Regional Australia","2486","2486",0.0123,1.23
"11","Inner Regional Australia","2508","2508",0.0215,2.15
"11","Inner Regional Australia","2527","2527",0.0418,4.18
"11","Inner Regional Australia","2530","2530",0.0324,3.24
"11","Inner Regional Australia","2533","2533",1,100
"11","Inner Regional Australia","2534","2534",1,100
"11","Inner Regional Australia","2535","2535",1,100
"11","Inner Regional Australia","2536","2536",1,100
"11","Inner Regional Australia","2537","2537",0.6519,65.19
"11","Inner Regional Australia","2538","2538",1,100
"11","Inner Regional Australia","2539","2539",0.9882,98.82
"11","Inner Regional Australia","2540","2540",0.9903,99.03
"11","Inner Regional Australia","2541","2541",1,100
"11","Inner Regional Australia","2555","2555",1,100
"11","Inner Regional Australia","2556","2556",1,100
"11","Inner Regional Australia","2560","2560",0.025,2.5
"11","Inner Regional Australia","2568","2568",1,100
"11","Inner Regional Australia","2569","2569",1,100
"11","Inner Regional Australia","2570","2570",0.4186,41.86
"11","Inner Regional Australia","2571","2571",1,100
"11","Inner Regional Australia","2572","2572",1,100
"11","Inner Regional Australia","2573","2573",1,100
"11","Inner Regional Australia","2574","2574",1,100
"11","Inner Regional Australia","2575","2575",1,100
"11","Inner Regional Australia","2576","2576",1,100
"11","Inner Regional Australia","2577","2577",1,100
"11","Inner Regional Australia","2578","2578",1,100
"11","Inner Regional Australia","2579","2579",1,100
"11","Inner Regional Australia","2580","2580",0.9725,97.25
"11","Inner Regional Australia","2581","2581",0.9542,95.42
"11","Inner Regional Australia","2582","2582",0.9554,95.54
"11","Inner Regional Australia","2583","2583",0.7635,76.35
"11","Inner Regional Australia","2585","2585",1,100
"11","Inner Regional Australia","2586","2586",0.5973,59.73
"11","Inner Regional Australia","2587","2587",0.9115,91.15
"11","Inner Regional Australia","2588","2588",1,100
"11","Inner Regional Australia","2590","2590",0.9575,95.75
"11","Inner Regional Australia","2594","2594",0.8515,85.15
"11","Inner Regional Australia","2618","2618",0.2933,29.33
"11","Inner Regional Australia","2620","2620",0.1891,18.91
"11","Inner Regional Australia","2621","2621",0.9681,96.81
"11","Inner Regional Australia","2622","2622",0.825,82.5
"11","Inner Regional Australia","2623","2623",1,100
"11","Inner Regional Australia","2626","2626",1,100
"11","Inner Regional Australia","2628","2628",0.5965,59.65
"11","Inner Regional Australia","2630","2630",0.797,79.7
"11","Inner Regional Australia","2640","2640",1,100
"11","Inner Regional Australia","2641","2641",1,100
"11","Inner Regional Australia","2642","2642",0.817,81.7
"11","Inner Regional Australia","2643","2643",1,100
"11","Inner Regional Australia","2644","2644",0.6854,68.54
"11","Inner Regional Australia","2646","2646",0.8779,87.79
"11","Inner Regional Australia","2647","2647",1,100
"11","Inner Regional Australia","2650","2650",1,100
"11","Inner Regional Australia","2651","2651",1,100
"11","Inner Regional Australia","2652","2652",0.5376,53.76
"11","Inner Regional Australia","2655","2655",1,100
"11","Inner Regional Australia","2658","2658",0.8498,84.98
"11","Inner Regional Australia","2659","2659",1,100
"11","Inner Regional Australia","2660","2660",1,100
"11","Inner Regional Australia","2663","2663",1,100
"11","Inner Regional Australia","2666","2666",0.0536,5.36
"11","Inner Regional Australia","2701","2701",0.9399,93.99
"11","Inner Regional Australia","2710","2710",0.7217,72.17
"11","Inner Regional Australia","2712","2712",0.1584,15.84
"11","Inner Regional Australia","2714","2714",0.7622,76.22
"11","Inner Regional Australia","2720","2720",0.9438,94.38
"11","Inner Regional Australia","2722","2722",0.8892,88.92
"11","Inner Regional Australia","2729","2729",0.8899,88.99
"11","Inner Regional Australia","2731","2731",0.8755,87.55
"11","Inner Regional Australia","2745","2745",0.1235,12.35
"11","Inner Regional Australia","2749","2749",0.096,9.6
"11","Inner Regional Australia","2752","2752",1,100
